index;periode;session_start_time;session_end_time;consumption_kw;charging_start_time;charging_end_time;session_duration;charging_duration;max_power_kW
1;Challenge;2024-03-31 17:40:00;2024-04-01 16:09:00;12,787;2024-03-31 17:40:00;2024-03-31 22:00:00;1350;261;3,5
2;Challenge;2024-03-29 14:09:00;2024-03-29 18:18:00;18,659;2024-03-29 14:09:00;2024-03-29 17:04:00;249;175;7,4
3;Challenge;2024-03-29 09:48:00;2024-03-29 17:49:00;41,08;2024-03-29 10:58:00;2024-03-29 16:37:00;481;340;7,5
4;Challenge;2024-03-29 08:06:00;2024-03-29 16:26:00;18,05;2024-03-29 08:06:00;2024-03-29 13:45:00;500;340;7,3
5;Challenge;2024-03-29 13:09:00;2024-03-29 16:21:00;4,619;2024-03-29 13:09:00;2024-03-29 14:43:00;193;95;3,5
6;Challenge;2024-03-29 12:07:00;2024-03-29 13:08:00;7,112;2024-03-29 12:07:00;2024-03-29 13:08:00;62;61;7,1
7;Challenge;2024-03-29 07:39:00;2024-03-29 13:04:00;14,384;2024-03-29 07:39:00;2024-03-29 13:04:00;326;326;7,4
8;Challenge;2024-03-29 09:08:00;2024-03-29 12:02:00;9,911;2024-03-29 09:08:00;2024-03-29 12:02:00;175;175;3,5
9;Challenge;2024-03-28 21:46:00;2024-03-29 07:08:00;18,278;2024-03-28 21:46:00;2024-03-29 04:07:00;562;382;3,5
10;Challenge;2024-03-28 18:25:00;2024-03-29 07:06:00;29,359;2024-03-28 22:00:00;2024-03-29 01:53:00;761;234;7,9
11;Challenge;2024-03-28 09:34:00;2024-03-28 18:25:00;53,334;2024-03-28 09:34:00;2024-03-28 18:25:00;532;532;6,5
12;Challenge;2024-03-28 10:41:00;2024-03-28 17:43:00;4,235;2024-03-28 10:41:00;2024-03-28 13:31:00;422;171;1,6
13;Challenge;2024-03-28 08:39:00;2024-03-28 17:07:00;12,507;2024-03-28 08:39:00;2024-03-28 15:38:00;509;419;3,5
14;Challenge;2024-03-28 09:34:00;2024-03-28 16:23:00;38,347;2024-03-28 09:34:00;2024-03-28 14:56:00;409;323;7,8
15;Challenge;2024-03-28 08:43:00;2024-03-28 13:39:00;22,805;2024-03-28 08:46:00;2024-03-28 13:11:00;296;265;6,8
16;Challenge;2024-03-28 11:03:00;2024-03-28 13:25:00;3,79;2024-03-28 11:03:00;2024-03-28 12:38:00;142;96;2,5
17;Challenge;2024-03-27 13:45:00;2024-03-27 18:53:00;4,76;2024-03-27 13:45:00;2024-03-27 15:45:00;308;121;2,4
18;Challenge;2024-03-27 15:35:00;2024-03-27 18:08:00;18,351;2024-03-27 15:35:00;2024-03-27 18:08:00;153;153;7,3
19;Challenge;2024-03-27 12:09:00;2024-03-27 17:47:00;17,473;2024-03-27 12:09:00;2024-03-27 14:51:00;339;163;7,2
20;Challenge;2024-03-27 11:03:00;2024-03-27 17:47:00;49,832;2024-03-27 11:03:00;2024-03-27 17:47:00;405;405;7,5
21;Challenge;2024-03-27 09:02:00;2024-03-27 17:34:00;43,447;2024-03-27 11:00:00;2024-03-27 17:00:00;512;360;7,3
